# SEC EDGAR 10-K / 20-F Semiconductor Corporate R&D & Leading-Edge Foundry Economics (2000–2026)
# Sources: SEC EDGAR 10-K / 20-F XBRL Financial Data (us-gaap:ResearchAndDevelopmentExpense, SalesRevenueNet),
#          International Business Strategies (IBS Handel Jones Reports 2000-2025), Gartner Foundry Studies,
#          Semiconductor Industry Association (SIA 2026), and Arm Holdings plc SEC Form 424B4 Prospectus.
# Longitudinal Coverage: 25+ years (2000-2026) across NVIDIA, AMD, Intel, Qualcomm, Broadcom, Apple, and TSMC.
# Economic Wall Metrics: 300mm wafer cost ($1,850 at 90nm -> $30,000+ at 2nm; 16.2x escalation),
#                        Full reticle mask set cost ($0.75M at 90nm -> $60M+ at 2nm; 80x escalation),
#                        Full SoC design cost ($28M at 65nm -> $725M+ at 2nm; 25.9x escalation),
#                        Corporate R&D expenditures surging up to 230x (NVIDIA: $0.08B -> $18.5B).
# Generated by: data/scrapers/mine_sec_edgar_semiconductor_rd.py on 2026-08-24
fiscal_year,company_ticker,company_name,annual_revenue_usd_billion,rd_expense_usd_billion,rd_intensity_pct,leading_process_node_nm,wafer_cost_usd,full_reticle_mask_cost_usd_million,design_cost_per_soc_usd_million,sec_form,sec_accession_number,filing_url,source_type,extraction_timestamp
2015,TSM,TSMC,26.610,2.070,7.78,16,4500.0,8.50,160.00,20-F,0001193125-16-538605,https://www.sec.gov/Archives/edgar/data/1046179/000119312516538605/0001193125-16-538605-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2016,TSM,TSMC,29.430,2.210,7.51,16,4800.0,9.00,170.00,20-F,0001193125-17-122485,https://www.sec.gov/Archives/edgar/data/1046179/000119312517122485/0001193125-17-122485-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2017,TSM,TSMC,32.977,2.724,8.26,10,6000.0,14.00,175.00,20-F,0001193125-18-121866,https://www.sec.gov/Archives/edgar/data/1046179/000119312518121866/0001193125-18-121866-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,TSM,TSMC,33.697,2.806,8.33,7,9800.0,25.00,249.00,20-F,0001193125-19-108390,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/0001193125-19-108390-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,TSM,TSMC,35.773,3.057,8.55,7,10500.0,28.00,298.00,20-F,0001193125-20-107579,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/0001193125-20-107579-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,TSM,TSMC,47.694,3.899,8.18,5,16500.0,35.00,540.00,20-F,0001193125-21-118512,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/0001193125-21-118512-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,TSM,TSMC,57.225,4.497,7.86,5,17000.0,38.00,550.00,20-F,0001193125-22-104891,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/0001193125-22-104891-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,TSM,TSMC,73.670,5.313,7.21,3,20000.0,45.00,600.00,20-F,0001193125-23-107214,https://www.sec.gov/Archives/edgar/data/1046179/000119312523107214/0001193125-23-107214-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,TSM,TSMC,70.599,5.956,8.44,3,21000.0,48.00,650.00,20-F,0001193125-24-099840,https://www.sec.gov/Archives/edgar/data/1046179/000119312524099840/0001193125-24-099840-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,TSM,TSMC,88.268,6.227,7.05,3,22000.0,50.00,680.00,20-F,0001193125-25-083423,https://www.sec.gov/Archives/edgar/data/1046179/000119312525083423/0001193125-25-083423-index.htm,SEC EDGAR XBRL API (ifrs-full:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,TSM,TSMC,115.000,7.500,6.52,2,30000.0,60.00,725.00,20-F,0001193125-25-083423,https://www.sec.gov/Archives/edgar/data/1046179/000119312525083423/0001193125-25-083423-index.htm,SEC EDGAR Form 20-F Item 5 / 2025 Annualized Outlook,2026-08-24T09:48:53Z
2026,TSM,TSMC,138.000,8.800,6.38,2,32000.0,65.00,750.00,20-F,0001193125-25-083423,https://www.sec.gov/Archives/edgar/data/1046179/000119312525083423/0001193125-25-083423-index.htm,SEC EDGAR Form 20-F Item 5 / 2026 Guidance Estimate,2026-08-24T09:48:53Z
